Minutes,Pressure,Rate
0,3754.01,0
0,3754.01,0
8,3753.95,0
13,3753.97,0
18,3753.94,0
23,3753.91,0
28,3753.87,0
33,3753.86,0
44,3753.78,0
49,3753.74,0
54,3753.74,0
59,3753.7,0
64,3753.66,0
69,3753.59,0
74,3698.04,0
79,3697.64,0
84,3697.26,0
89,3696.94,0
94,3696.65,0
99,3696.42,0
104,3696.19,0
109,3696.01,0
114,3695.87,0
119,3696.98,0
124,3697.01,0
129,3696.95,0
134,3696.89,0
139,3696.87,0
144,3695.48,0
149,3695.47,0
154,3695.45,0
159,3695.4,0
164,3695.36,0
169,3695.32,0
174,3696.61,0
179,3696.56,0
184,3696.51,0
189,3696.47,0
194,3696.45,0
199,3696.38,0
204,3696.31,0
209,3696.24,0
214,3696.18,0
219,3696.12,0
224,3696.06,0
229,3696.01,0
234,3695.93,0
239,3695.87,0
244,3694.46,0
249,3694.46,0
254,3695.81,0
259,3695.8,0
264,3695.82,0
269,3695.8,0
274,3695.77,0
279,3695.73,0
284,3694.39,0
289,3694.34,0
294,3694.28,0
299,3695.59,0
304,3695.51,0
309,3695.45,0
314,3695.39,0
319,3695.33,0
324,3695.29,0
329,3695.24,0
334,3695.17,0
339,3695.12,0
344,3695.07,0
349,3693.66,0
355,3693.61,0
360,3693.54,0
365,3693.48,0
402,3692.91,0
407,3692.86,0
412,3692.8,0
417,3692.75,0
422,3692.71,0
427,3692.63,0
432,3692.6,0
437,3692.54,0
442,3692.5,0
447,3692.41,0
452,3692.34,0
457,3692.27,0
462,3692.2,0
467,3692.14,0
472,3692.08,0
477,3692.02,0
482,3691.96,0
487,3693.26,0
492,3693.17,0
497,3693.1,0
502,3693.02,0
507,3692.97,0
512,3692.91,0
517,3692.83,0
522,3692.76,0
527,3691.6,0
532,3691.34,0
537,3691.27,0
542,3691.24,0
547,3691.17,0
552,3691.11,0
557,3692.35,0
562,3692.29,0
567,3692.23,0
572,3692.11,0
577,3710.27,0
582,3576.3,0
587,3204.99,0
592,3205.75,0
597,3205.79,0
602,3209.92,0
607,3209.21,0
612,3209.17,0
618,3209.53,0
623,3209.86,0
628,3210.22,0
633,3210.56,0
638,3210.2,0
643,3209.3,0
648,3208.3,0
653,3207.3,0
658,3206.42,0
663,3205.71,0
668,3205.03,0
673,3204.22,0
678,3203.28,0
683,3202.15,0
688,3200.86,0
693,3199.49,0
698,3198.1,0
703,3196.7,0
708,3195.27,0
713,3193.88,0
718,3192.67,0
723,3191.64,0
728,3190.74,0
733,3189.9,0
738,3189.24,0
743,3188.86,0
748,3188.63,0
753,3188.46,0
758,3188.39,0
763,3188.4,0
768,3188.47,0
773,3188.75,0
778,3189.15,0
783,3189.53,0
788,3189.84,0
793,3190.12,0
798,3190.35,0
803,3190.53,0
808,3190.69,0
813,3190.84,0
818,3190.98,0
823,3191.08,0
828,3191.16,0
833,3191.24,0
838,3191.32,0
843,3191.4,0
848,3191.48,0
853,3191.56,0
858,3191.64,0
863,3191.69,0
868,3191.75,0
873,3191.78,0
878,3191.8,0
883,3191.81,0
888,3191.81,0
893,3191.82,0
898,3191.85,0
903,3191.87,0
908,3191.89,0
913,3191.92,0
918,3191.96,0
923,3191.98,0
928,3191.98,0
933,3191.98,0
938,3191.96,0
943,3191.94,0
948,3191.94,0
953,3191.96,0
959,3191.95,0
964,3191.97,0
969,3192,0
974,3192,0
979,3191.99,0
984,3191.97,0
989,3191.99,0
994,3191.98,0
999,3192,0
1004,3189.18,0
1009,3189.6,0
1014,3210.3,0
1019,3210.75,0
1024,3747.11,0
1029,8794.69,0
1034,8749.28,0
1039,3282.04,0
1044,5904.5,0
1049,8786.92,0
1054,4229.34,0
1059,3316.22,0
1064,7000.49,0
1069,8816.06,0
1074,3266.88,0
1079,3340.07,0
1084,8874.64,0
1089,8776.99,0
1094,3296.48,0
1099,4676.29,0
1104,8834.72,0
1109,4967.41,0
1133,3392.89,0
1138,3395.97,0
1143,3397.69,0
1148,3398.59,0
1153,4086.87,0
1158,8867.36,0
1163,8793.48,0
1168,3301.75,0
1173,3395.71,0
1178,8918.11,0
1183,8839.25,0
1188,8815.04,0
1193,8795.83,0
1198,8786.65,0
1203,8777.08,0
1208,3532.21,0
1213,3579.41,0
1218,3581.6,0
1219,3567.05,0.57
1220,3567.95,0.7
1223,3581.31,0.85
1228,3601.75,0.85
1229,3603.83,1.01
1232,3640.32,1.07
1234,3674.73,1.13
1235,3685.15,1.34
1237,3721.08,1.42
1239,3760.42,1.5
1241,3805.76,1.6
1243,3848.98,1.7
1246,3915.1,1.81
1248,3960.9,1.91
1250,4011.29,2.01
1252,4062.53,2.12
1254,4121.1,2.25
1256,4181.28,2.35
1257,4204.3,2.76
1259,4272.55,2.94
1261,4344.81,3.13
1264,4446.39,3.34
1269,4569.54,3.57
1273,4620.9,3.78
1278,4653.71,3.96
1281,4669.68,4.26
1284,4671.95,4.53
1287,4672.14,4.76
1288,4674.47,4.31
1291,4674.69,4.52
1293,4679.44,4.09
1297,4669.58,4.32
1301,4654.8,4.55
1306,4630.1,4.8
1310,4614.09,5.05
1314,4599.41,5.31
1318,4586.03,5.6
1322,4574.35,5.79
1323,4572.5,6.99
1327,4567.03,7.35
1331,4566.06,7.74
1336,4562.06,8.17
1341,4561.98,8.48
1343,4557.52,10.16
1348,4578.27,10.64
1351,4588.31,12.67
1355,4618.3,13.35
1360,4671.43,14.16
